YEAR,EXPERIMENT,LOCATION,VARIETY,FAMILY,CHECK,RM,REPNO,YIELD,FAM_ENCODED,CLASS_OF,GRAD,BAGSOLD
2009,220,3310,136860,13983,0,3.7,1,68.1337202,1,2011,0,0
2009,220,3310,136860,13983,0,3.7,2,74.8365336,1,2011,0,0
2009,321,3310,120205,12494,0,3.8,1,48.0276593,2,2011,0,0
2009,321,3310,120205,12494,0,3.8,2,52.4971433,2,2011,0,0
2009,395,1110,148493,7635,0,2.1,1,61.9242944,3,2011,1,61161
2009,395,1110,148493,7635,0,2.1,2,66.9426311,3,2011,1,61161
2009,395,1220,148493,7635,0,2.1,1,54.9561997,3,2011,1,61161
2009,395,1220,148493,7635,0,2.1,2,55.1584321,3,2011,1,61161
2009,395,1241,148493,7635,0,2.1,1,50.4189084,3,2011,1,61161
2009,395,1241,148493,7635,0,2.1,2,52.7375917,3,2011,1,61161
2009,395,1290,148493,7635,0,2.1,1,46.0781988,3,2011,1,61161
2009,395,1290,148493,7635,0,2.1,2,42.6891709,3,2011,1,61161
2009,395,2111,148493,7635,0,2.1,1,48.6864015,3,2011,1,61161
2009,395,2111,148493,7635,0,2.1,2,51.675723,3,2011,1,61161
2009,395,2220,148493,7635,0,2.1,1,41.5514652,3,2011,1,61161
2009,395,2220,148493,7635,0,2.1,2,48.8107149,3,2011,1,61161
2009,395,2270,148493,7635,0,2.1,1,52.607925,3,2011,1,61161
2009,395,2270,148493,7635,0,2.1,2,52.273052,3,2011,1,61161
2009,395,2290,148493,7635,0,2.1,1,58.0818794,3,2011,1,61161
2009,395,2290,148493,7635,0,2.1,2,55.9593317,3,2011,1,61161
2009,406,2260,139548,13984,0,3,1,70.0321766,4,2013,0,0
2009,406,2260,139548,13984,0,3,2,66.9048612,4,2013,0,0
2009,406,2270,139548,13984,0,3,1,53.0831711,4,2013,0,0
2009,406,2270,139548,13984,0,3,2,63.4673571,4,2013,0,0
2009,406,2290,139548,13984,0,3,1,59.9804844,4,2013,0,0
2009,406,2290,139548,13984,0,3,2,59.6456114,4,2013,0,0
2009,406,3120,139548,13984,0,3,1,62.5488355,4,2013,0,0
2009,406,3120,139548,13984,0,3,2,49.1457366,4,2013,0,0
2009,406,3210,139548,13984,0,3,1,73.3279694,4,2013,0,0
2009,406,3210,139548,13984,0,3,2,82.9728176,4,2013,0,0
2009,608,1250,150589,12532,0,2,1,44.9724636,5,2012,0,0
2009,608,1250,150589,12532,0,2,2,50.4189084,5,2012,0,0
2009,608,2290,150589,12532,0,2,1,47.0230403,5,2012,0,0
2009,608,2290,150589,12532,0,2,2,48.1409689,5,2012,0,0
2009,609,1250,150509,12531,0,2.2,1,53.4422823,6,2011,0,0
2009,609,1250,150509,12531,0,2.2,2,59.3934158,6,2011,0,0
2009,609,2290,150509,12531,0,2.2,1,48.0276593,6,2011,0,0
2009,609,2290,150509,12531,0,2.2,2,42.4453025,6,2011,0,0
2009,609,3210,150509,12531,0,2.2,2,66.0681248,6,2011,0,0
2009,781,3210,155786,13537,0,2.8,1,64.3052831,7,2011,0,0
2009,781,3490,155786,13537,0,2.8,1,69.9135138,7,2011,0,0
2009,781,3490,155786,13537,0,2.8,2,69.9135138,7,2011,0,0
2009,788,3210,155853,13521,0,2.7,1,52.895214,8,2011,1,761392
2009,788,3210,155853,13521,0,2.7,2,57.3563708,8,2011,1,761392
2009,788,3490,155853,13521,0,2.7,1,70.9877245,8,2011,1,761392
2009,788,3490,155853,13521,0,2.7,2,69.9135138,8,2011,1,761392
2009,798,3210,155859,6089,0,2.7,1,72.3951726,9,2011,0,0
2009,798,3210,155859,6089,0,2.7,2,69.9050378,9,2011,0,0
2009,798,3310,155859,6089,0,2.7,1,64.9327982,9,2011,0,0
2009,798,3310,155859,6089,0,2.7,2,64.5362146,9,2011,0,0
2009,809,3210,155800,13537,0,3.1,1,66.8981697,7,2011,0,0
2009,809,3210,155800,13537,0,3.1,2,74.6771269,7,2011,0,0
2009,809,3210,155801,13537,0,3.3,1,63.1641572,7,2011,0,0
2009,809,3210,155801,13537,0,3.3,2,69.0749929,7,2011,0,0
2009,809,3310,155800,13537,0,3.1,1,85.545481,7,2011,0,0
2009,809,3310,155800,13537,0,3.1,2,81.0870008,7,2011,0,0
2009,809,3310,155801,13537,0,3.3,1,78.6438553,7,2011,0,0
2009,809,3310,155801,13537,0,3.3,2,72.0155408,7,2011,0,0
2009,846,2290,155888,12533,0,3.1,1,61.6549982,10,2012,0,0
2009,846,2290,155888,12533,0,3.1,2,58.0818794,10,2012,0,0
2009,846,3210,155888,12533,0,3.1,1,70.7350828,10,2012,0,0
2009,846,3210,155888,12533,0,3.1,2,71.8760599,10,2012,0,0
2009,846,3214,155888,12533,0,3.1,1,72.8090054,10,2012,0,0
2009,846,3214,155888,12533,0,3.1,2,71.3569473,10,2012,0,0
2009,848,2290,155842,13982,0,2.4,1,59.7563931,11,2011,1,634171
2009,848,2290,155842,13982,0,2.4,2,50.039574,11,2011,1,634171
2009,848,3210,155842,13982,0,2.4,1,59.9492574,11,2011,1,634171
2009,848,3210,155842,13982,0,2.4,2,57.5621719,11,2011,1,634171
2009,848,3214,155842,13982,0,2.4,1,68.8691918,11,2011,1,634171
2009,848,3214,155842,13982,0,2.4,2,70.0079384,11,2011,1,634171
2009,849,2290,155820,12533,0,2.8,1,55.7352404,10,2011,1,1061421
2009,849,2290,155820,12533,0,2.8,2,55.0653457,10,2011,1,1061421
2009,849,2290,155890,12533,0,2.7,1,59.5323018,10,2011,0,0
2009,849,2290,155890,12533,0,2.7,2,55.6244587,10,2011,0,0
2009,849,2290,155891,12540,0,2.3,1,52.942798,12,2011,0,0
2009,849,2290,155891,12540,0,2.3,2,48.3650602,12,2011,0,0
2009,849,3210,155820,12533,0,2.8,1,62.7480939,10,2011,1,1061421
2009,849,3210,155820,12533,0,2.8,2,62.9561255,10,2011,1,1061421
2009,849,3210,155890,12533,0,2.7,1,58.6002485,10,2011,0,0
2009,849,3210,155890,12533,0,2.7,2,61.6071167,10,2011,0,0
2009,849,3210,155891,12540,0,2.3,1,60.4661395,12,2011,0,0
2009,849,3210,155891,12540,0,2.3,2,64.4081837,12,2011,0,0
2009,849,3214,155820,12533,0,2.8,1,70.5270511,10,2011,1,1061421
2009,849,3214,155820,12533,0,2.8,2,67.0010703,10,2011,1,1061421
2009,849,3214,155890,12533,0,2.7,1,65.3409805,10,2011,0,0
2009,849,3214,155890,12533,0,2.7,2,69.6970062,10,2011,0,0
2009,849,3214,155891,12540,0,2.3,1,69.6970062,12,2011,0,0
2009,849,3214,155891,12540,0,2.3,2,71.1489156,12,2011,0,0
2009,849,3310,155820,12533,0,2.8,1,63.6667641,10,2011,1,1061421
2009,849,3310,155820,12533,0,2.8,2,64.7823135,10,2011,1,1061421
2009,849,3310,155890,12533,0,2.7,1,63.6667641,10,2011,0,0
2009,849,3310,155890,12533,0,2.7,2,69.2516489,10,2011,0,0
2009,849,3310,155891,12540,0,2.3,1,62.5488355,12,2011,0,0
2009,849,3310,155891,12540,0,2.3,2,63.6667641,12,2011,0,0
2009,852,3210,155843,13991,0,3,1,59.1193612,13,2011,1,871341
2009,852,3210,155843,13991,0,3,2,61.6071167,13,2011,1,871341
2009,852,3214,155843,13991,0,3,1,65.6520614,13,2011,1,871341
2009,852,3214,155843,13991,0,3,2,68.4531284,13,2011,1,871341
2009,852,3310,155843,13991,0,3,1,73.7184563,13,2011,1,871341
2009,852,3310,155843,13991,0,3,2,65.9002422,13,2011,1,871341
2009,855,3210,155918,13984,0,3.6,1,56.6292264,4,2011,1,408657
2009,855,3210,155918,13984,0,3.6,2,60.7793023,4,2011,1,408657
2009,855,3214,155918,13984,0,3.6,1,67.5201829,4,2011,1,408657
2009,855,3214,155918,13984,0,3.6,2,68.6611601,4,2011,1,408657
2009,855,3310,155918,13984,0,3.6,1,55.84855,4,2011,1,408657
2009,855,3310,155918,13984,0,3.6,2,81.5368191,4,2011,1,408657
2009,870,2291,120075,12485,0,2.6,1,59.6456114,14,2011,0,0
2009,870,2291,120075,12485,0,2.6,2,62.1031808,14,2011,0,0
2009,870,2441,120075,12485,0,2.6,1,58.888727,14,2011,0,0
2009,870,2441,120075,12485,0,2.6,2,63.4260184,14,2011,0,0
2009,870,3121,120075,12485,0,2.6,2,61.4332861,14,2011,0,0
2009,870,3211,120075,12485,0,2.6,1,58.3932577,14,2011,0,0
2009,870,3214,120075,12485,0,2.6,1,52.1704488,14,2011,0,0
2009,870,3214,120075,12485,0,2.6,2,56.6292264,14,2011,0,0
2009,870,3311,120075,12485,0,2.6,1,37.9759672,14,2011,0,0
2009,870,3311,120075,12485,0,2.6,2,46.9122586,14,2011,0,0
2009,870,3315,120075,12485,0,2.6,1,67.5323763,14,2011,0,0
2009,870,3315,120075,12485,0,2.6,2,64.7656591,14,2011,0,0
2009,870,3320,120075,12485,0,2.6,1,48.0276593,14,2011,0,0
2009,870,3320,120075,12485,0,2.6,2,54.7304727,14,2011,0,0
2009,870,3330,120075,12485,0,2.6,1,48.0276593,14,2011,0,0
2009,870,3330,120075,12485,0,2.6,2,63.6667641,14,2011,0,0
2009,870,3491,120075,12485,0,2.6,2,65.6096818,14,2011,0,0
2010,998,2260,155888,12533,0,3.1,1,64.1124188,10,2012,0,0
2010,998,2260,155888,12533,0,3.1,2,48.5867723,10,2012,0,0
2010,998,2310,155888,12533,0,3.1,2,58.1928098,10,2012,0,0
2010,998,2440,155888,12533,0,3.1,1,38.7212529,10,2012,0,0
2010,998,2440,155888,12533,0,3.1,2,37.209566,10,2012,0,0
2010,998,2450,155888,12533,0,3.1,1,51.1235989,10,2012,0,0
2010,998,2450,155888,12533,0,3.1,2,62.5190954,10,2012,0,0
2010,998,3120,155888,12533,0,3.1,2,75.058097,10,2012,0,0
2010,998,3130,155888,12533,0,3.1,1,51.8272486,10,2012,0,0
2010,998,3130,155888,12533,0,3.1,2,58.8625558,10,2012,0,0
2010,998,3240,155888,12533,0,3.1,2,48.1255041,10,2012,0,0
2010,998,3260,155888,12533,0,3.1,1,48.2517506,10,2012,0,0
2010,998,3310,155888,12533,0,3.1,1,69.9071197,10,2012,0,0
2010,998,3310,155888,12533,0,3.1,2,68.6045053,10,2012,0,0
2010,998,3430,155888,12533,0,3.1,1,67.5609268,10,2012,0,0
2010,998,3490,155888,12533,0,3.1,1,51.572079,10,2012,0,0
2010,998,3490,155888,12533,0,3.1,2,38.7541157,10,2012,0,0
2010,1297,2170,155801,13537,0,3.3,1,72.6030555,7,2011,0,0
