YEAR,EXPERIMENT,LOCATION,VARIETY,FAMILY,CHECK,RM,REPNO,YIELD,CLASS_OF,GRAD,BAGSOLD
2009,220,3310,136860,13983,0,3.7,1,68.1337202,2011,0,0
2009,220,3310,136860,13983,0,3.7,2,74.8365336,2011,0,0
2009,321,3310,120205,12494,0,3.8,1,48.0276593,2011,0,0
2009,321,3310,120205,12494,0,3.8,2,52.4971433,2011,0,0
2009,395,1110,148493,7635,0,2.1,1,61.9242944,2011,1,61161
2009,395,1110,148493,7635,0,2.1,2,66.9426311,2011,1,61161
2009,395,1220,148493,7635,0,2.1,1,54.9561997,2011,1,61161
2009,395,1220,148493,7635,0,2.1,2,55.1584321,2011,1,61161
2009,395,1241,148493,7635,0,2.1,1,50.4189084,2011,1,61161
2009,395,1241,148493,7635,0,2.1,2,52.7375917,2011,1,61161
2009,395,1290,148493,7635,0,2.1,1,46.0781988,2011,1,61161
2009,395,1290,148493,7635,0,2.1,2,42.6891709,2011,1,61161
2009,395,2111,148493,7635,0,2.1,1,48.6864015,2011,1,61161
2009,395,2111,148493,7635,0,2.1,2,51.675723,2011,1,61161
2009,395,2220,148493,7635,0,2.1,1,41.5514652,2011,1,61161
2009,395,2220,148493,7635,0,2.1,2,48.8107149,2011,1,61161
2009,395,2270,148493,7635,0,2.1,1,52.607925,2011,1,61161
2009,395,2270,148493,7635,0,2.1,2,52.273052,2011,1,61161
2009,395,2290,148493,7635,0,2.1,1,58.0818794,2011,1,61161
2009,395,2290,148493,7635,0,2.1,2,55.9593317,2011,1,61161
2009,406,2260,139548,13984,0,3,1,70.0321766,2013,0,0
2009,406,2260,139548,13984,0,3,2,66.9048612,2013,0,0
2009,406,2270,139548,13984,0,3,1,53.0831711,2013,0,0
2009,406,2270,139548,13984,0,3,2,63.4673571,2013,0,0
2009,406,2290,139548,13984,0,3,1,59.9804844,2013,0,0
2009,406,2290,139548,13984,0,3,2,59.6456114,2013,0,0
2009,406,3120,139548,13984,0,3,1,62.5488355,2013,0,0
2009,406,3120,139548,13984,0,3,2,49.1457366,2013,0,0
2009,406,3210,139548,13984,0,3,1,73.3279694,2013,0,0
2009,406,3210,139548,13984,0,3,2,82.9728176,2013,0,0
2009,608,1250,150589,12532,0,2,1,44.9724636,2012,0,0
2009,608,1250,150589,12532,0,2,2,50.4189084,2012,0,0
2009,608,2290,150589,12532,0,2,1,47.0230403,2012,0,0
2009,608,2290,150589,12532,0,2,2,48.1409689,2012,0,0
2009,609,1250,150509,12531,0,2.2,1,53.4422823,2011,0,0
2009,609,1250,150509,12531,0,2.2,2,59.3934158,2011,0,0
2009,609,2290,150509,12531,0,2.2,1,48.0276593,2011,0,0
2009,609,2290,150509,12531,0,2.2,2,42.4453025,2011,0,0
2009,609,3210,150509,12531,0,2.2,2,66.0681248,2011,0,0
2009,781,3210,155786,13537,0,2.8,1,64.3052831,2011,0,0
2009,781,3490,155786,13537,0,2.8,1,69.9135138,2011,0,0
2009,781,3490,155786,13537,0,2.8,2,69.9135138,2011,0,0
2009,788,3210,155853,13521,0,2.7,1,52.895214,2011,1,761392
2009,788,3210,155853,13521,0,2.7,2,57.3563708,2011,1,761392
2009,788,3490,155853,13521,0,2.7,1,70.9877245,2011,1,761392
2009,788,3490,155853,13521,0,2.7,2,69.9135138,2011,1,761392
2009,798,3210,155859,6089,0,2.7,1,72.3951726,2011,0,0
2009,798,3210,155859,6089,0,2.7,2,69.9050378,2011,0,0
2009,798,3310,155859,6089,0,2.7,1,64.9327982,2011,0,0
2009,798,3310,155859,6089,0,2.7,2,64.5362146,2011,0,0
2009,809,3210,155800,13537,0,3.1,1,66.8981697,2011,0,0
2009,809,3210,155800,13537,0,3.1,2,74.6771269,2011,0,0
2009,809,3210,155801,13537,0,3.3,1,63.1641572,2011,0,0
2009,809,3210,155801,13537,0,3.3,2,69.0749929,2011,0,0
2009,809,3310,155800,13537,0,3.1,1,85.545481,2011,0,0
2009,809,3310,155800,13537,0,3.1,2,81.0870008,2011,0,0
2009,809,3310,155801,13537,0,3.3,1,78.6438553,2011,0,0
2009,809,3310,155801,13537,0,3.3,2,72.0155408,2011,0,0
2009,846,2290,155888,12533,0,3.1,1,61.6549982,2012,0,0
2009,846,2290,155888,12533,0,3.1,2,58.0818794,2012,0,0
2009,846,3210,155888,12533,0,3.1,1,70.7350828,2012,0,0
2009,846,3210,155888,12533,0,3.1,2,71.8760599,2012,0,0
2009,846,3214,155888,12533,0,3.1,1,72.8090054,2012,0,0
2009,846,3214,155888,12533,0,3.1,2,71.3569473,2012,0,0
2009,848,2290,155842,13982,0,2.4,1,59.7563931,2011,1,634171
2009,848,2290,155842,13982,0,2.4,2,50.039574,2011,1,634171
2009,848,3210,155842,13982,0,2.4,1,59.9492574,2011,1,634171
2009,848,3210,155842,13982,0,2.4,2,57.5621719,2011,1,634171
2009,848,3214,155842,13982,0,2.4,1,68.8691918,2011,1,634171
2009,848,3214,155842,13982,0,2.4,2,70.0079384,2011,1,634171
