YEAR,EXPERIMENT,LOCATION,VARIETY,FAMILY,CHECK,RM,REPNO,YIELD,RM_GRP,YIELD_GRP,CLASS_ABSENT,FAM_SEGMENT1,FAM_SEGMENT2,FAM_SEGMENT3,FAM_SEGMENT4,FAM_SEGMENT5,CLASS_OF,GRAD,BAGSOLD
2009,09YT000220,3310,V136860,FAM13983,FALSE,3.7,1,68.1337202,3,60,0,0,0,0,1,0,2011,0,0
2009,09YT000220,3310,V136860,FAM13983,FALSE,3.7,2,74.8365336,3,70,0,0,0,0,1,0,2011,0,0
2009,09YT000321,3310,V120205,FAM12494,FALSE,3.8,1,48.0276593,3,40,0,0,0,0,0,1,2011,0,0
2009,09YT000321,3310,V120205,FAM12494,FALSE,3.8,2,52.4971433,3,50,0,0,0,0,0,1,2011,0,0
2009,09YT000395,1110,V148493,FAM07635,FALSE,2.1,1,61.9242944,2,60,0,0,0,0,0,1,2011,1,61161
2009,09YT000395,1110,V148493,FAM07635,FALSE,2.1,2,66.9426311,2,60,0,0,0,0,0,1,2011,1,61161
2009,09YT000395,1220,V148493,FAM07635,FALSE,2.1,1,54.9561997,2,50,0,0,0,0,0,1,2011,1,61161
2009,09YT000395,1220,V148493,FAM07635,FALSE,2.1,2,55.1584321,2,50,0,0,0,0,0,1,2011,1,61161
2009,09YT000395,1241,V148493,FAM07635,FALSE,2.1,1,50.4189084,2,50,0,0,0,0,0,1,2011,1,61161
2009,09YT000395,1241,V148493,FAM07635,FALSE,2.1,2,52.7375917,2,50,0,0,0,0,0,1,2011,1,61161
2009,09YT000395,1290,V148493,FAM07635,FALSE,2.1,1,46.0781988,2,40,0,0,0,0,0,1,2011,1,61161
2009,09YT000395,1290,V148493,FAM07635,FALSE,2.1,2,42.6891709,2,40,0,0,0,0,0,1,2011,1,61161
2009,09YT000395,2111,V148493,FAM07635,FALSE,2.1,1,48.6864015,2,40,0,0,0,0,0,1,2011,1,61161
2009,09YT000395,2111,V148493,FAM07635,FALSE,2.1,2,51.675723,2,50,0,0,0,0,0,1,2011,1,61161
2009,09YT000395,2220,V148493,FAM07635,FALSE,2.1,1,41.5514652,2,40,0,0,0,0,0,1,2011,1,61161
2009,09YT000395,2220,V148493,FAM07635,FALSE,2.1,2,48.8107149,2,40,0,0,0,0,0,1,2011,1,61161
2009,09YT000395,2270,V148493,FAM07635,FALSE,2.1,1,52.607925,2,50,0,0,0,0,0,1,2011,1,61161
2009,09YT000395,2270,V148493,FAM07635,FALSE,2.1,2,52.273052,2,50,0,0,0,0,0,1,2011,1,61161
2009,09YT000395,2290,V148493,FAM07635,FALSE,2.1,1,58.0818794,2,50,0,0,0,0,0,1,2011,1,61161
2009,09YT000395,2290,V148493,FAM07635,FALSE,2.1,2,55.9593317,2,50,0,0,0,0,0,1,2011,1,61161
2009,09YT000406,2260,V139548,FAM13984,FALSE,3,1,70.0321766,3,70,0,0,0,1,0,0,2013,0,0
2009,09YT000406,2260,V139548,FAM13984,FALSE,3,2,66.9048612,3,60,0,0,0,1,0,0,2013,0,0
2009,09YT000406,2270,V139548,FAM13984,FALSE,3,1,53.0831711,3,50,0,0,0,1,0,0,2013,0,0
2009,09YT000406,2270,V139548,FAM13984,FALSE,3,2,63.4673571,3,60,0,0,0,1,0,0,2013,0,0
2009,09YT000406,2290,V139548,FAM13984,FALSE,3,1,59.9804844,3,50,0,0,0,1,0,0,2013,0,0
2009,09YT000406,2290,V139548,FAM13984,FALSE,3,2,59.6456114,3,50,0,0,0,1,0,0,2013,0,0
2009,09YT000406,3120,V139548,FAM13984,FALSE,3,1,62.5488355,3,60,0,0,0,1,0,0,2013,0,0
2009,09YT000406,3120,V139548,FAM13984,FALSE,3,2,49.1457366,3,40,0,0,0,1,0,0,2013,0,0
2009,09YT000406,3210,V139548,FAM13984,FALSE,3,1,73.3279694,3,70,0,0,0,1,0,0,2013,0,0
2009,09YT000406,3210,V139548,FAM13984,FALSE,3,2,82.9728176,3,80,0,0,0,1,0,0,2013,0,0
2009,09YT000608,1250,V150589,FAM12532,FALSE,2,1,44.9724636,2,40,0,0,0,0,1,0,2012,0,0
2009,09YT000608,1250,V150589,FAM12532,FALSE,2,2,50.4189084,2,50,0,0,0,0,1,0,2012,0,0
2009,09YT000608,2290,V150589,FAM12532,FALSE,2,1,47.0230403,2,40,0,0,0,0,1,0,2012,0,0
2009,09YT000608,2290,V150589,FAM12532,FALSE,2,2,48.1409689,2,40,0,0,0,0,1,0,2012,0,0
2009,09YT000609,1250,V150509,FAM12531,FALSE,2.2,1,53.4422823,2,50,0,0,0,1,0,0,2011,0,0
2009,09YT000609,1250,V150509,FAM12531,FALSE,2.2,2,59.3934158,2,50,0,0,0,1,0,0,2011,0,0
2009,09YT000609,2290,V150509,FAM12531,FALSE,2.2,1,48.0276593,2,40,0,0,0,1,0,0,2011,0,0
2009,09YT000609,2290,V150509,FAM12531,FALSE,2.2,2,42.4453025,2,40,0,0,0,1,0,0,2011,0,0
2009,09YT000609,3210,V150509,FAM12531,FALSE,2.2,2,66.0681248,2,60,0,0,0,1,0,0,2011,0,0
2009,09YT000781,3210,V155786,FAM13537,FALSE,2.8,1,64.3052831,2,60,0,0,1,0,0,0,2011,0,0
2009,09YT000781,3490,V155786,FAM13537,FALSE,2.8,1,69.9135138,2,60,0,0,1,0,0,0,2011,0,0
2009,09YT000781,3490,V155786,FAM13537,FALSE,2.8,2,69.9135138,2,60,0,0,1,0,0,0,2011,0,0
2009,09YT000788,3210,V155853,FAM13521,FALSE,2.7,1,52.895214,2,50,0,0,1,0,0,0,2011,1,761392
2009,09YT000788,3210,V155853,FAM13521,FALSE,2.7,2,57.3563708,2,50,0,0,1,0,0,0,2011,1,761392
2009,09YT000788,3490,V155853,FAM13521,FALSE,2.7,1,70.9877245,2,70,0,0,1,0,0,0,2011,1,761392
2009,09YT000788,3490,V155853,FAM13521,FALSE,2.7,2,69.9135138,2,60,0,0,1,0,0,0,2011,1,761392
2009,09YT000798,3210,V155859,FAM06089,FALSE,2.7,1,72.3951726,2,70,0,0,1,0,0,0,2011,0,0
2009,09YT000798,3210,V155859,FAM06089,FALSE,2.7,2,69.9050378,2,60,0,0,1,0,0,0,2011,0,0
2009,09YT000798,3310,V155859,FAM06089,FALSE,2.7,1,64.9327982,2,60,0,0,1,0,0,0,2011,0,0
2009,09YT000798,3310,V155859,FAM06089,FALSE,2.7,2,64.5362146,2,60,0,0,1,0,0,0,2011,0,0
2009,09YT000809,3210,V155800,FAM13537,FALSE,3.1,1,66.8981697,3,60,0,0,1,0,0,0,2011,0,0
2009,09YT000809,3210,V155800,FAM13537,FALSE,3.1,2,74.6771269,3,70,0,0,1,0,0,0,2011,0,0
2009,09YT000809,3210,V155801,FAM13537,FALSE,3.3,1,63.1641572,3,60,0,0,1,0,0,0,2011,0,0
2009,09YT000809,3210,V155801,FAM13537,FALSE,3.3,2,69.0749929,3,60,0,0,1,0,0,0,2011,0,0
2009,09YT000809,3310,V155800,FAM13537,FALSE,3.1,1,85.545481,3,80,0,0,1,0,0,0,2011,0,0
2009,09YT000809,3310,V155800,FAM13537,FALSE,3.1,2,81.0870008,3,80,0,0,1,0,0,0,2011,0,0
2009,09YT000809,3310,V155801,FAM13537,FALSE,3.3,1,78.6438553,3,70,0,0,1,0,0,0,2011,0,0
2009,09YT000809,3310,V155801,FAM13537,FALSE,3.3,2,72.0155408,3,70,0,0,1,0,0,0,2011,0,0
2009,09YT000846,2290,V155888,FAM12533,FALSE,3.1,1,61.6549982,3,60,0,0,0,1,0,0,2012,0,0
2009,09YT000846,2290,V155888,FAM12533,FALSE,3.1,2,58.0818794,3,50,0,0,0,1,0,0,2012,0,0
2009,09YT000846,3210,V155888,FAM12533,FALSE,3.1,1,70.7350828,3,70,0,0,0,1,0,0,2012,0,0
2009,09YT000846,3210,V155888,FAM12533,FALSE,3.1,2,71.8760599,3,70,0,0,0,1,0,0,2012,0,0
2009,09YT000846,3214,V155888,FAM12533,FALSE,3.1,1,72.8090054,3,70,0,0,0,1,0,0,2012,0,0
2009,09YT000846,3214,V155888,FAM12533,FALSE,3.1,2,71.3569473,3,70,0,0,0,1,0,0,2012,0,0
2009,09YT000848,2290,V155842,FAM13982,FALSE,2.4,1,59.7563931,2,50,0,0,0,1,0,0,2011,1,634171
2009,09YT000848,2290,V155842,FAM13982,FALSE,2.4,2,50.039574,2,50,0,0,0,1,0,0,2011,1,634171
2009,09YT000848,3210,V155842,FAM13982,FALSE,2.4,1,59.9492574,2,50,0,0,0,1,0,0,2011,1,634171
2009,09YT000848,3210,V155842,FAM13982,FALSE,2.4,2,57.5621719,2,50,0,0,0,1,0,0,2011,1,634171
2009,09YT000848,3214,V155842,FAM13982,FALSE,2.4,1,68.8691918,2,60,0,0,0,1,0,0,2011,1,634171
